id,scheme_name,major_component_name,sub_component_name,activity_master_name,1 Full time Accountant
2,Elementary Education,Access & Retention,Opening of New School,Opening of New Schools  - NR (Elementary),New Schools (Upto Class VIII)
5,Elementary Education,Access & Retention,Opening of New School,Opening of New Schools - Recurring (Elementary),Recurring Cost - New Primary (Samagra)
6,Elementary Education,Access & Retention,Opening of New School,Opening of New Schools - Recurring (Elementary),Recurring Cost - New Upper Primary (Samagra)
7,Elementary Education,Access & Retention,Opening of New School,Opening of New Schools - Recurring (Elementary),Recurring Cost - Primary (Previous) (Samagra)
8,Elementary Education,Access & Retention,Opening of New School,Opening of New Schools - Recurring (Elementary),Recurring Cost - Upper Primary (Previous) (Samagra)
9,Elementary Education,Access & Retention,Opening of New School,Opening of New Schools - Recurring (Elementary),Recurring Cost (Upto Class VIII) (Previous)
10,Elementary Education,Access & Retention,Opening of New School,Opening of New Schools - Recurring (Elementary),Recurring Cost (Upto Class VIII) (New)
15,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,Netaji Subhash Chandra Bose Avasiya Vidyalaya - NR (New) (Capacity 50)   (Elementary),Construction of building (new)(100)
19,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,Netaji Subhash Chandra Bose Avasiya Vidyalaya - Recurring (New) (Capacity 50)  (Elementary),4 Fulltime teachers as per RTE Norms
20,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,Netaji Subhash Chandra Bose Avasiya Vidyalaya - Recurring (New) (Capacity 50)  (Elementary),4 Full-time Teachers
25,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,Netaji Subhash Chandra Bose Avasiya Vidyalaya - Recurring (New) (Capacity 50)  (Elementary),Construction of Building
29,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,Netaji Subhash Chandra Bose Avasiya Vidyalaya - Recurring (New) (Capacity 50)  (Elementary),Furniture Equipment (Including Kitchen)
30,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,Netaji Subhash Chandra Bose Avasiya Vidyalaya - Recurring (New) (Capacity 50)  (Elementary),Preparatory camps
33,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,Netaji Subhash Chandra Bose Avasiya Vidyalaya - Recurring (New) (Capacity 50)  (Elementary),1 Head Teacher  in case the enrollment exceeds 100
36,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,Netaji Subhash Chandra Bose Avasiya Vidyalaya - Recurring (New) (Capacity 50)  (Elementary),Excursion Trip within State
42,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,Netaji Subhash Chandra Bose Avasiya Vidyalaya - NR (Previous Year) (Capacity 50)   (Elementary),Assistant Warden
44,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,Netaji Subhash Chandra Bose Avasiya Vidyalaya - NR (Previous Year) (Capacity 50)   (Elementary),4-5 Full Time Teachers
50,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,Netaji Subhash Chandra Bose Avasiya Vidyala - Recurring (Previous Year) (Capacity 50)  (Elementary),4 Full-time Teachers
53,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,Netaji Subhash Chandra Bose Avasiya Vidyala - Recurring (Previous Year) (Capacity 50)  (Elementary),Specific Skill training
55,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,Netaji Subhash Chandra Bose Avasiya Vidyala - Recurring (Previous Year) (Capacity 50)  (Elementary),Examination Fees
58,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,Netaji Subhash Chandra Bose Avasiya Vidyala - Recurring (Previous Year) (Capacity 50)  (Elementary),P.T.A / school functions
68,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,Netaji Subhash Chandra Bose Avasiya Vidyala - Recurring (Previous Year) (Capacity 50)  (Elementary),Medical Care / Contigencies
69,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,Netaji Subhash Chandra Bose Avasiya Vidyala - Recurring (Previous Year) (Capacity 50)  (Elementary),Furniture Equipment Inluding Kitchen
80,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,Netaji Subhash Chandra Bose Avasiya Vidyalaya - Recurring (New) (Capacity 100)   (Elementary),Furniture / Equipment (including kitchen equipment)
81,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,Netaji Subhash Chandra Bose Avasiya Vidyalaya - Recurring (New) (Capacity 100)   (Elementary),CCTV Camera
88,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,Netaji Subhash Chandra Bose Avasiya Vidyalaya - Recurring (New) (Capacity 100)   (Elementary),Preparatory camps
89,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,Netaji Subhash Chandra Bose Avasiya Vidyalaya - Recurring (New) (Capacity 100)   (Elementary),Preparatory camps
90,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,Netaji Subhash Chandra Bose Avasiya Vidyalaya - Recurring (New) (Capacity 100)   (Elementary),Bedding(new)
91,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,Netaji Subhash Chandra Bose Avasiya Vidyalaya - Recurring (New) (Capacity 100)   (Elementary),Generator Set
94,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,Netaji Subhash Chandra Bose Avasiya Vidyalaya - Recurring (New) (Capacity 100)   (Elementary),Generator Set
98,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,Netaji Subhash Chandra Bose Avasiya Vidyalaya - Recurring (New) (Capacity 100)   (Elementary),Furniture / Equipment (including kitchen equipment)
104,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,Netaji Subhash Chandra Bose Avasiya Vidyalaya - NR (Previous Year) (Capacity 100)  (Elementary),Warden
105,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,Netaji Subhash Chandra Bose Avasiya Vidyalaya - NR (Previous Year) (Capacity 100)  (Elementary),Open Gym/Sports Equipment
110,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,Netaji Subhash Chandra Bose Avasiya Vidyalaya - Recurring (Previous Year) (Capacity 100) (Elementary),4 Full-time Teachers
111,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,Netaji Subhash Chandra Bose Avasiya Vidyalaya - Recurring (Previous Year) (Capacity 100) (Elementary),4 Full-time Teachers
112,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,Netaji Subhash Chandra Bose Avasiya Vidyalaya - Recurring (Previous Year) (Capacity 100) (Elementary),Open Gym/Sports Equipment
120,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,Netaji Subhash Chandra Bose Avasiya Vidyalaya - Recurring (Previous Year) (Capacity 100) (Elementary),4 Fulltime teachers as per RTE Norms
121,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,Netaji Subhash Chandra Bose Avasiya Vidyalaya - Recurring (Previous Year) (Capacity 100) (Elementary),Open Gym/Sports Equipment
134,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,Netaji Subhash Chandra Bose Avasiya Vidyalaya - NR (Previous Year) (Capacity  > 100)   (Elementary),Physical Infrastructure for Enhancing Learning Capacity
142,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,Netaji Subhash Chandra Bose Avasiya Vidy - Recurring  (Previous Year)(Capacity > 100)   (Elementary),Excursion Trip within State
143,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,Netaji Subhash Chandra Bose Avasiya Vidy - Recurring  (Previous Year)(Capacity > 100)   (Elementary),Appliances
146,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,Netaji Subhash Chandra Bose Avasiya Vidy - Recurring  (Previous Year)(Capacity > 100)   (Elementary),Chowkidar
150,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,Netaji Subhash Chandra Bose Avasiya Vidy - Recurring  (Previous Year)(Capacity > 100)   (Elementary),Additional Dormitory
153,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,Netaji Subhash Chandra Bose Avasiya Vidy - Recurring  (Previous Year)(Capacity > 100)   (Elementary),Miscellaneous
154,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,Netaji Subhash Chandra Bose Avasiya Vidy - Recurring  (Previous Year)(Capacity > 100)   (Elementary),Medical care/contingencies
160,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,Netaji Subhash Chandra Bose Avasiya Vidy - Recurring  (Previous Year)(Capacity > 100)   (Elementary),Folk Music Instrument and School Band
192,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostels) - (Rec) (New) (Capacity 50)  (Elementary),Part Time Teacher
193,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostels) - (Rec) (New) (Capacity 50)  (Elementary),Examination Fees
199,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostels) - (Rec) (New) (Capacity 50)  (Elementary),4 Full-time Teachers
